No.,日本語名,英語名
1,フシギダネ,bulbasaur
2,フシギソウ,ivysaur
3,フシギバナ,venusaur
4,ヒトカゲ,charmander
5,リザード,charmeleon
6,リザードン,charizard
7,ゼニガメ,squirtle
8,カメール,wartortle
9,カメックス,blastoise
10,キャタピー,caterpie
11,トランセル,metapod
12,バタフリー,butterfree
13,ビードル,weedle
14,コクーン,kakuna
15,スピアー,beedrill
16,ポッポ,pidgey
17,ピジョン,pidgeotto
18,ピジョット,pidgeot
19,コラッタ,rattata
20,ラッタ,raticate
21,オニスズメ,spearow
22,オニドリル,fearow
23,アーボ,ekans
24,アーボック,arbok
25,ピカチュウ,pikachu
26,ライチュウ,raichu
27,サンド,sandshrew
28,サンドパン,sandslash
29,ニドラン♀,nidoranf
30,ニドリーナ,nidorina
31,ニドクイン,nidoqueen
32,ニドラン♂,nidoran♂
33,ニドリーノ,nidorino
34,ニドキング,nidoking
35,ピッピ,clefairy
36,ピクシー,clefable
37,ロコン,vulpix
38,キュウコン,ninetales
39,プリン,jigglypuff
40,プクリン,wigglytuff
41,ズバット,zubat
42,ゴルバット,golbat
43,ナゾノクサ,oddish
44,クサイハナ,gloom
45,ラフレシア,vileplume
46,パラス,paras
47,パラセクト,parasect
48,コンパン,venonat
49,モルフォン,venomoth
50,ディグダ,diglett
51,ダグトリオ,dugtrio
52,ニャース,meowth
53,ペルシアン,persian
54,コダック,psyduck
55,ゴルダック,golduck
56,マンキー,mankey
57,オコリザル,primeape
58,ガーディ,growlithe
59,ウインディ,arcanine
60,ニョロモ,poliwag
61,ニョロゾ,poliwhirl
62,ニョロボン,poliwrath
63,ケーシィ,abra
64,ユンゲラー,kadabra
65,フーディン,alakazam
66,ワンリキー,machop
67,ゴーリキー,machoke
68,カイリキー,machamp
69,マダツボミ,bellsprout
70,ウツドン,weepinbell
71,ウツボット,victreebel
72,メノクラゲ,tentacool
73,ドククラゲ,tentacruel
74,イシツブテ,geodude
75,ゴローン,graveler
76,ゴローニャ,golem
77,ポニータ,ponyta
78,ギャロップ,rapidash
79,ヤドン,slowpoke
80,ヤドラン,slowbro
81,コイル,magnemite
82,レアコイル,magneton
83,カモネギ,farfetch'd
84,ドードー,doduo
85,ドードリオ,dodrio
86,パウワウ,seel
87,ジュゴン,dewgong
88,ベトベター,grimer
89,ベトベトン,muk
90,シェルダー,shellder
91,パルシェン,cloyster
92,ゴース,gastly
93,ゴースト,haunter
94,ゲンガー,gengar
95,イワーク,onix
96,スリープ,drowzee
97,スリーパー,hypno
98,クラブ,krabby
99,キングラー,kingler
100,ビリリダマ,voltorb
101,マルマイン,electrode
102,タマタマ,exeggcute
103,ナッシー,exeggutor
104,カラカラ,cubone
105,ガラガラ,marowak
106,サワムラー,hitmonlee
107,エビワラー,hitmonchan
108,ベロリンガ,lickitung
109,ドガース,koffing
110,マタドガス,weezing
111,サイホーン,rhyhorn
112,サイドン,rhydon
113,ラッキー,chansey
114,モンジャラ,tangela
115,ガルーラ,kangaskhan
116,タッツー,horsea
117,シードラ,seadra
118,トサキント,goldeen
119,アズマオウ,seaking
120,ヒトデマン,staryu
121,スターミー,starmie
122,バリヤード,mr.mime
123,ストライク,scyther
124,ルージュラ,jynx
125,エレブー,electabuzz
126,ブーバー,magmar
127,カイロス,pinsir
128,ケンタロス,tauros
129,コイキング,magikarp
130,ギャラドス,gyarados
131,ラプラス,lapras
132,メタモン,ditto
133,イーブイ,eevee
134,シャワーズ,vaporeon
135,サンダース,jolteon
136,ブースター,flareon
137,ポリゴン,porygon
138,オムナイト,omanyte
139,オムスター,omastar
140,カブト,kabuto
141,カブトプス,kabutops
142,プテラ,aerodactyl
143,カビゴン,snorlax
144,フリーザー,articuno
145,サンダー,zapdos
146,ファイヤー,moltres
147,ミニリュウ,dratini
148,ハクリュー,dragonair
149,カイリュー,dragonite
150,ミュウツー,mewtwo
151,ミュウ,mew
152,チコリータ,chikorita
153,ベイリーフ,bayleef
154,メガニウム,meganium
155,ヒノアラシ,cyndaquil
156,マグマラシ,quilava
157,バクフーン,typhlosion
158,ワニノコ,totodile
159,アリゲイツ,croconaw
160,オーダイル,feraligatr
161,オタチ,sentret
162,オオタチ,furret
163,ホーホー,hoothoot
164,ヨルノズク,noctowl
165,レディバ,ledyba
166,レディアン,ledian
167,イトマル,spinarak
168,アリアドス,ariados
169,クロバット,crobat
170,チョンチー,chinchou
171,ランターン,lanturn
172,ピチュー,pichu
173,ピィ,cleffa
174,ププリン,igglybuff
175,トゲピー,togepi
176,トゲチック,togetic
177,ネイティ,natu
178,ネイティオ,xatu
179,メリープ,mareep
180,モココ,flaaffy
181,デンリュウ,ampharos
182,キレイハナ,bellossom
183,マリル,marill
184,マリルリ,azumarill
185,ウソッキー,sudowoodo
186,ニョロトノ,politoed
187,ハネッコ,hoppip
188,ポポッコ,skiploom
189,ワタッコ,jumpluff
190,エイパム,aipom
191,ヒマナッツ,sunkern
192,キマワリ,sunflora
193,ヤンヤンマ,yanma
194,ウパー,wooper
195,ヌオー,quagsire
196,エーフィ,espeon
197,ブラッキー,umbreon
198,ヤミカラス,murkrow
199,ヤドキング,slowking
200,ムウマ,misdreavus
201,アンノーン,unown
202,ソーナンス,wobbuffet
203,キリンリキ,girafarig
204,クヌギダマ,pineco
205,フォレトス,forretress
206,ノコッチ,dunsparce
207,グライガー,gligar
208,ハガネール,steelix
209,ブルー,snubbull
210,グランブル,granbull
211,ハリーセン,qwilfish
212,ハッサム,scizor
213,ツボツボ,shuckle
214,ヘラクロス,heracross
215,ニューラ,sneasel
216,ヒメグマ,teddiursa
217,リングマ,ursaring
218,マグマッグ,slugma
219,マグカルゴ,magcargo
220,ウリムー,swinub
221,イノムー,piloswine
222,サニーゴ,corsola
223,テッポウオ,remoraid
224,オクタン,octillery
225,デリバード,delibird
226,マンタイン,mantine
227,エアームド,skarmory
228,デルビル,houndour
229,ヘルガー,houndoom
230,キングドラ,kingdra
231,ゴマゾウ,phanpy
232,ドンファン,donphan
233,ポリゴン２,porygon2
234,オドシシ,stantler
235,ドーブル,smeargle
236,バルキー,tyrogue
237,カポエラー,hitmontop
238,ムチュール,smoochum
239,エレキッド,elekid
240,ブビィ,magby
241,ミルタンク,miltank
242,ハピナス,blissey
243,ライコウ,raikou
244,エンテイ,entei
245,スイクン,suicune
246,ヨーギラス,larvitar
247,サナギラス,pupitar
248,バンギラス,tyranitar
249,ルギア,lugia
250,ホウオウ,hooh
251,セレビィ,celebi
252,キモリ,treecko
253,ジュプトル,grovyle
254,ジュカイン,sceptile
255,アチャモ,torchic
256,ワカシャモ,combusken
257,バシャーモ,blaziken
258,ミズゴロウ,mudkip
259,ヌマクロー,marshtomp
260,ラグラージ,swampert
261,ポチエナ,poochyena
262,グラエナ,mightyena
263,ジグザグマ,zigzagoon
264,マッスグマ,linoone
265,ケムッソ,wurmple
266,カラサリス,silcoon
267,アゲハント,beautifly
268,マユルド,cascoon
269,ドクケイル,dustox
270,ハスボー,lotad
271,ハスブレロ,lombre
272,ルンパッパ,ludicolo
273,タネボー,seedot
274,コノハナ,nuzleaf
275,ダーテング,shiftry
276,スバメ,taillow
277,オオスバメ,swellow
278,キャモメ,wingull
279,ペリッパー,pelipper
280,ラルトス,ralts
281,キルリア,kirlia
282,サーナイト,gardevoir
283,アメタマ,surskit
284,アメモース,masquerain
285,キノココ,shroomish
286,キノガッサ,breloom
287,ナマケロ,slakoth
288,ヤルキモノ,vigoroth
289,ケッキング,slaking
290,ツチニン,nincada
291,テッカニン,ninjask
292,ヌケニン,shedinja
293,ゴニョニョ,whismur
294,ドゴーム,loudred
295,バクオング,exploud
296,マクノシタ,makuhita
297,ハリテヤマ,hariyama
298,ルリリ,azurill
299,ノズパス,nosepass
300,エネコ,skitty
301,エネコロロ,delcatty
302,ヤミラミ,sableye
303,クチート,mawile
304,ココドラ,aron
305,コドラ,lairon
306,ボスゴドラ,aggron
307,アサナン,meditite
308,チャーレム,medicham
309,ラクライ,electrike
310,ライボルト,manectric
311,プラスル,plusle
312,マイナン,minun
313,バルビート,volbeat
314,イルミーゼ,illumise
315,ロゼリア,roselia
316,ゴクリン,gulpin
317,マルノーム,swalot
318,キバニア,carvanha
319,サメハダー,sharpedo
320,ホエルコ,wailmer
321,ホエルオー,wailord
322,ドンメル,numel
323,バクーダ,camerupt
324,コータス,torkoal
325,バネブー,spoink
326,ブーピッグ,grumpig
327,パッチール,spinda
328,ナックラー,trapinch
329,ビブラーバ,vibrava
330,フライゴン,flygon
331,サボネア,cacnea
332,ノクタス,cacturne
333,チルット,swablu
334,チルタリス,altaria
335,ザングース,zangoose
336,ハブネーク,seviper
337,ルナトーン,lunatone
338,ソルロック,solrock
339,ドジョッチ,barboach
340,ナマズン,whiscash
341,ヘイガニ,corphish
342,シザリガー,crawdaunt
343,ヤジロン,baltoy
344,ネンドール,claydol
345,リリーラ,lileep
346,ユレイドル,cradily
347,アノプス,anorith
348,アーマルド,armaldo
349,ヒンバス,feebas
350,ミロカロス,milotic
351,ポワルン,castform
352,カクレオン,kecleon
353,カゲボウズ,shuppet
354,ジュペッタ,banette
355,ヨマワル,duskull
356,サマヨール,dusclops
357,トロピウス,tropius
358,チリーン,chimecho
359,アブソル,absol
360,ソーナノ,wynaut
361,ユキワラシ,snorunt
362,オニゴーリ,glalie
363,タマザラシ,spheal
364,トドグラー,sealeo
365,トドゼルガ,walrein
366,パールル,clamperl
367,ハンテール,huntail
368,サクラビス,gorebyss
369,ジーランス,relicanth
370,ラブカス,luvdisc
371,タツベイ,bagon
372,コモルー,shelgon
373,ボーマンダ,salamence
374,ダンバル,beldum
375,メタング,metang
376,メタグロス,metagross
377,レジロック,regirock
378,レジアイス,regice
379,レジスチル,registeel
380,ラティアス,latias
381,ラティオス,latios
382,カイオーガ,kyogre
383,グラードン,groudon
384,レックウザ,rayquaza
385,ジラーチ,jirachi
386,デオキシス,deoxys
387,ナエトル,turtwig
388,ハヤシガメ,grotle
389,ドダイトス,torterra
390,ヒコザル,chimchar
391,モウカザル,monferno
392,ゴウカザル,infernape
393,ポッチャマ,piplup
394,ポッタイシ,prinplup
395,エンペルト,empoleon
396,ムックル,starly
397,ムクバード,staravia
398,ムクホーク,staraptor
399,ビッパ,bidoof
400,ビーダル,bibarel
401,コロボーシ,kricketot
402,コロトック,kricketune
403,コリンク,shinx
404,ルクシオ,luxio
405,レントラー,luxray
406,スボミー,budew
407,ロズレイド,roserade
408,ズガイドス,cranidos
409,ラムパルド,rampardos
410,タテトプス,shieldon
411,トリデプス,bastiodon
412,ミノムッチ,burmy
413,ミノマダム,wormadam
414,ガーメイル,mothim
415,ミツハニー,combee
416,ビークイン,vespiquen
417,パチリス,pachirisu
418,ブイゼル,buizel
419,フローゼル,floatzel
420,チェリンボ,cherubi
421,チェリム,cherrim
422,カラナクシ,shellos
423,トリトドン,gastrodon
424,エテボース,ambipom
425,フワンテ,drifloon
426,フワライド,drifblim
427,ミミロル,buneary
428,ミミロップ,lopunny
429,ムウマージ,mismagius
430,ドンカラス,honchkrow
431,ニャルマー,glameow
432,ブニャット,purugly
433,リーシャン,chingling
434,スカンプー,stunky
435,スカタンク,skuntank
436,ドーミラー,bronzor
437,ドータクン,bronzong
438,ウソハチ,bonsly
439,マネネ,mimejr.
440,ピンプク,happiny
441,ペラップ,chatot
442,ミカルゲ,spiritomb
443,フカマル,gible
444,ガバイト,gabite
445,ガブリアス,garchomp
446,ゴンベ,munchlax
447,リオル,riolu
448,ルカリオ,lucario
449,ヒポポタス,hippopotas
450,カバルドン,hippowdon
451,スコルピ,skorupi
452,ドラピオン,drapion
453,グレッグル,croagunk
454,ドクロッグ,toxicroak
455,マスキッパ,carnivine
456,ケイコウオ,finneon
457,ネオラント,lumineon
458,タマンタ,mantyke
459,ユキカブリ,snover
460,ユキノオー,abomasnow
461,マニューラ,weavile
462,ジバコイル,magnezone
463,ベロベルト,lickilicky
464,ドサイドン,rhyperior
465,モジャンボ,tangrowth
466,エレキブル,electivire
467,ブーバーン,magmortar
468,トゲキッス,togekiss
469,メガヤンマ,yanmega
470,リーフィア,leafeon
471,グレイシア,glaceon
472,グライオン,gliscor
473,マンムー,mamoswine
474,ポリゴンＺ,porygonz
475,エルレイド,gallade
476,ダイノーズ,probopass
477,ヨノワール,dusknoir
478,ユキメノコ,froslass
479,ロトム,rotom
480,ユクシー,uxie
481,エムリット,mesprit
482,アグノム,azelf
483,ディアルガ,dialga
484,パルキア,palkia
485,ヒードラン,heatran
486,レジギガス,regigigas
487,ギラティナ,giratina
488,クレセリア,cresselia
489,フィオネ,phione
490,マナフィ,manaphy
491,ダークライ,darkrai
492,シェイミ,shaymin
493,アルセウス,arceus
494,ビクティニ,victini
495,ツタージャ,snivy
496,ジャノビー,servine
497,ジャローダ,serperior
498,ポカブ,tepig
499,チャオブー,pignite
500,エンブオー,emboar
501,ミジュマル,oshawott
502,フタチマル,dewott
503,ダイケンキ,samurott
504,ミネズミ,patrat
505,ミルホッグ,watchog
506,ヨーテリー,lillipup
507,ハーデリア,herdier
508,ムーランド,stoutland
509,チョロネコ,purrloin
510,レパルダス,liepard
511,ヤナップ,pansage
512,ヤナッキー,simisage
513,バオップ,pansear
514,バオッキー,simisear
515,ヒヤップ,panpour
516,ヒヤッキー,simipour
517,ムンナ,munna
518,ムシャーナ,musharna
519,マメパト,pidove
520,ハトーボー,tranquill
521,ケンホロウ,unfezant
522,シママ,blitzle
523,ゼブライカ,zebstrika
524,ダンゴロ,roggenrola
525,ガントル,boldore
526,ギガイアス,gigalith
527,コロモリ,woobat
528,ココロモリ,swoobat
529,モグリュー,drilbur
530,ドリュウズ,excadrill
531,タブンネ,audino
532,ドッコラー,timburr
533,ドテッコツ,gurdurr
534,ローブシン,conkeldurr
535,オタマロ,tympole
536,ガマガル,palpitoad
537,ガマゲロゲ,seismitoad
538,ナゲキ,throh
539,ダゲキ,sawk
