No.,日本語名,英語名
540,クルミル,sewaddle
541,クルマユ,swadloon
542,ハハコモリ,leavanny
543,フシデ,venipede
544,ホイーガ,whirlipede
545,ペンドラー,scolipede
546,モンメン,cottonee
547,エルフーン,whimsicott
548,チュリネ,petilil
549,ドレディア,lilligant
550,バスラオ,basculin
551,メグロコ,sandile
552,ワルビル,krokorok
553,ワルビアル,krookodile
554,ダルマッカ,darumaka
555,ヒヒダルマ,darmanitan
556,マラカッチ,maractus
557,イシズマイ,dwebble
558,イワパレス,crustle
559,ズルッグ,scraggy
560,ズルズキン,scrafty
561,シンボラー,sigilyph
562,デスマス,yamask
563,デスカーン,cofagrigus
564,プロトーガ,tirtouga
565,アバゴーラ,carracosta
566,アーケン,archen
567,アーケオス,archeops
568,ヤブクロン,trubbish
569,ダストダス,garbodor
570,ゾロア,zorua
571,ゾロアーク,zoroark
572,チラーミィ,minccino
573,チラチーノ,cinccino
574,ゴチム,gothita
575,ゴチミル,gothorita
576,ゴチルゼル,gothitelle
577,ユニラン,solosis
578,ダブラン,duosion
579,ランクルス,reuniclus
580,コアルヒー,ducklett
581,スワンナ,swanna
582,バニプッチ,vanillite
583,バニリッチ,vanillish
584,バイバニラ,vanilluxe
585,シキジカ,deerling
586,メブキジカ,sawsbuck
587,エモンガ,emolga
588,カブルモ,karrablast
589,シュバルゴ,escavalier
590,タマゲタケ,foongus
591,モロバレル,amoonguss
592,プルリル,frillish
593,ブルンゲル,jellicent
594,ママンボウ,alomomola
595,バチュル,joltik
596,デンチュラ,galvantula
597,テッシード,ferroseed
598,ナットレイ,ferrothorn
599,ギアル,klink
600,ギギアル,klang
601,ギギギアル,klinklang
602,シビシラス,tynamo
603,シビビール,eelektrik
604,シビルドン,eelektross
605,リグレー,elgyem
606,オーベム,beheeyem
607,ヒトモシ,litwick
608,ランプラー,lampent
609,シャンデラ,chandelure
610,キバゴ,axew
611,オノンド,fraxure
612,オノノクス,haxorus
613,クマシュン,cubchoo
614,ツンベアー,beartic
615,フリージオ,cryogonal
616,チョボマキ,shelmet
617,アギルダー,accelgor
618,マッギョ,stunfisk
619,コジョフー,mienfoo
620,コジョンド,mienshao
621,クリムガン,druddigon
622,ゴビット,golett
623,ゴルーグ,golurk
624,コマタナ,pawniard
625,キリキザン,bisharp
626,バッフロン,bouffalant
627,ワシボン,rufflet
628,ウォーグル,braviary
629,バルチャイ,vullaby
630,バルジーナ,mandibuzz
631,クイタラン,heatmor
632,アイアント,durant
633,モノズ,deino
634,ジヘッド,zweilous
635,サザンドラ,hydreigon
636,メラルバ,larvesta
637,ウルガモス,volcarona
638,コバルオン,cobalion
639,テラキオン,terrakion
640,ビリジオン,virizion
641,化身トルネロス,tornadus
642,化身ボルトロス,thundurus
643,レシラム,reshiram
644,ゼクロム,zekrom
645,化身ランドロス,landorus
646,キュレム,kyurem
647,ケルディオ,keldeo
648,メロエッタ,meloetta
649,ゲノセクト,genesect
650,ハリマロン,chespin
651,ハリボーグ,quilladin
652,ブリガロン,chesnaught
653,フォッコ,fennekin
654,テールナー,braixen
655,マフォクシー,delphox
656,ケロマツ,froakie
657,ゲコガシラ,frogadier
658,ゲッコウガ,greninja
659,ホルビー,bunnelby
660,ホルード,diggersby
661,ヤヤコマ,fletchling
662,ヒノヤコマ,fletchinder
663,ファイアロー,talonflame
664,コフキムシ,scatterbug
665,コフーライ,spewpa
666,ビビヨン,vivillon
667,シシコ,litleo
668,カエンジシ,pyroar
669,フラベベ,flabebe
670,フラエッテ,floette
671,フラージェス,florges
672,メェークル,skiddo
673,ゴーゴート,gogoat
674,ヤンチャム,pancham
675,ゴロンダ,pangoro
676,トリミアン,furfrou
677,ニャスパー,espurr
678,ニャオニクス,meowstic
679,ヒトツキ,honedge
680,ニダンギル,doublade
681,ギルガルド,aegislash
682,シュシュプ,spritzee
683,フレフワン,aromatisse
684,ペロッパフ,swirlix
685,ペロリーム,slurpuff
686,マーイーカ,inkay
687,カラマネロ,malamar
688,カメテテ,binacle
689,ガメノデス,barbaracle
690,クズモー,skrelp
691,ドラミドロ,dragalge
692,ウデッポウ,clauncher
693,ブロスター,clawitzer
694,エリキテル,helioptile
695,エレザード,heliolisk
696,チゴラス,tyrunt
697,ガチゴラス,tyrantrum
698,アマルス,amaura
699,アマルルガ,aurorus
700,ニンフィア,sylveon
701,ルチャブル,hawlucha
702,デデンネ,dedenne
703,メレシー,carbink
704,ヌメラ,goomy
705,ヌメイル,sliggoo
706,ヌメルゴン,goodra
707,クレッフィ,klefki
708,ボクレー,phantump
709,オーロット,trevenant
710,バケッチャ,pumpkaboo
711,パンプジン,gourgeist
712,カチコール,bergmite
713,クレベース,avalugg
714,オンバット,noibat
715,オンバーン,noivern
716,ゼルネアス,xerneas
717,イベルタル,yveltal
718,ジガルデ,zygarde
719,ディアンシー,diancie
720,フーパ,hoopa
721,ボルケニオン,volcanion
722,モクロー,rowlet
723,フクスロー,dartrix
724,ジュナイパー,decidueye
725,ニャビー,litten
726,ニャヒート,torracat
727,ガオガエン,incineroar
728,アシマリ,popplio
729,オシャマリ,brionne
730,アシレーヌ,primarina
731,ツツケラ,pikipek
732,ケララッパ,trumbeak
733,ドデカバシ,toucannon
734,ヤングース,yungoos
735,デカグース,gumshoos
736,アゴジムシ,grubbin
737,デンヂムシ,charjabug
738,クワガノン,vikavolt
739,マケンカニ,crabrawler
740,ケケンカニ,crabominable
741,オドリドリ,oricorio
742,アブリー,cutiefly
743,アブリボン,ribombee
744,イワンコ,rockruff
745,ルガルガン,lycanroc
746,ヨワシ,wishiwashi
747,ヒドイデ,mareanie
748,ドヒドイデ,toxapex
749,ドロバンコ,mudbray
750,バンバドロ,mudsdale
751,シズクモ,dewpider
752,オニシズクモ,araquanid
753,カリキリ,fomantis
754,ラランテス,lurantis
755,ネマシュ,morelull
756,マシェード,shiinotic
757,ヤトウモリ,salandit
758,エンニュート,salazzle
759,ヌイコグマ,stufful
760,キテルグマ,bewear
761,アマカジ,bounsweet
762,アママイコ,steenee
763,アマージョ,tsareena
764,キュワワー,comfey
765,ヤレユータン,oranguru
766,ナゲツケサル,passimian
767,コソクムシ,wimpod
768,グソクムシャ,golisopod
769,スナバァ,sandygast
770,シロデスナ,palossand
771,ナマコブシ,pyukumuku
772,タイプ：ヌル,type:null
773,シルヴァディ,silvally
774,メテノ,minior
775,ネッコアラ,komala
776,バクガメス,turtonator
777,トゲデマル,togedemaru
778,ミミッキュ,mimikyu
779,ハギギシリ,bruxish
780,ジジーロン,drampa
781,ダダリン,dhelmise
782,ジャラコ,jangmoo
783,ジャランゴ,hakamoo
784,ジャラランガ,kommoo
785,カプ・コケコ,tapukoko
786,カプ・テテフ,tapulele
787,カプ・ブルル,tapubulu
788,カプ・レヒレ,tapufini
789,コスモッグ,cosmog
790,コスモウム,cosmoem
791,ソルガレオ,solgaleo
792,ルナアーラ,lunala
793,ウツロイド,nihilego
794,マッシブーン,buzzwole
795,フェローチェ,pheromosa
796,デンジュモク,xurkitree
797,テッカグヤ,celesteela
798,カミツルギ,kartana
799,アクジキング,guzzlord
800,ネクロズマ,necrozma
801,マギアナ,magearna
802,マーシャドー,marshadow
803,ベベノム,poipole
804,アーゴヨン,naganadel
805,ツンデツンデ,stakataka
806,ズガドーン,blacephalon
807,ゼラオラ,zeraora
808,メルタン,meltan
809,メルメタル,melmetal
810,サルノリ,grookey
811,バチンキー,thwackey
812,ゴリランダー,rillaboom
813,ヒバニー,scorbunny
814,ラビフット,raboot
815,エースバーン,cinderace
816,メッソン,sobble
817,ジメレオン,drizzile
818,インテレオン,inteleon
819,ホシガリス,skwovet
820,ヨクバリス,greedent
821,ココガラ,rookidee
822,アオガラス,corvisquire
823,アーマーガア,corviknight
824,サッチムシ,blipbug
825,レドームシ,dottler
826,イオルブ,orbeetle
827,クスネ,nickit
828,フォクスライ,thievul
829,ヒメンカ,gossifleur
830,ワタシラガ,eldegoss
831,ウールー,wooloo
832,バイウールー,dubwool
833,カムカメ,chewtle
834,カジリガメ,drednaw
835,ワンパチ,yamper
836,パルスワン,boltund
837,タンドン,rolycoly
838,トロッゴン,carkol
839,セキタンザン,coalossal
840,カジッチュ,applin
841,アップリュー,flapple
842,タルップル,appletun
843,スナヘビ,silicobra
844,サダイジャ,sandaconda
845,ウッウ,cramorant
846,サシカマス,arrokuda
847,カマスジョー,barraskewda
848,エレズン,toxel
849,ストリンダー,toxtricity
850,ヤクデ,sizzlipede
851,マルヤクデ,centiskorch
852,タタッコ,clobbopus
853,オトスパス,grapploct
854,ヤバチャ,sinistea
855,ポットデス,polteageist
856,ミブリム,hatenna
857,テブリム,hattrem
858,ブリムオン,hatterene
859,ベロバー,impidimp
860,ギモー,morgrem
861,オーロンゲ,grimmsnarl
862,タチフサグマ,obstagoon
863,ニャイキング,perrserker
864,サニゴーン,cursola
865,ネギガナイト,sirfetch'd
866,バリコオル,mr.rime
867,デスバーン,runerigus
868,マホミル,milcery
869,マホイップ,alcremie
870,タイレーツ,falinks
871,バチンウニ,pincurchin
872,ユキハミ,snom
873,モスノウ,frosmoth
874,イシヘンジン,stonjourner
875,コオリッポ,eiscue
876,イエッサン,indeedee
877,モルペコ,morpeko
878,ゾウドウ,cufant
879,ダイオウドウ,copperajah
880,パッチラゴン,dracozolt
881,パッチルドン,arctozolt
882,ウオノラゴン,dracovish
883,ウオチルドン,arctovish
884,ジュラルドン,duraludon
885,ドラメシヤ,dreepy
886,ドロンチ,drakloak
887,ドラパルト,dragapult
888,ザシアン,zacian
889,ザマゼンタ,zamazenta
890,ムゲンダイナ,eternatus
891,ダクマ,kubfu
892,ウーラオス,urshifu
893,ザルード,zarude
894,レジエレキ,regieleki
895,レジドラゴ,regidrago
896,ブリザポス,glastrier
897,レイスポス,spectrier
898,バドレックス,calyrex
899,アヤシシ,wyrdeer
900,バサギリ,kleavor
901,ガチグマ,ursaluna
902,イダイトウ,basculegion
903,オオニューラ,sneasler
904,ハリーマン,overqwil
905,ラブトロス,enamorus
906,ニャオハ,sprigatito
907,ニャローテ,floragato
908,マスカーニャ,meowscarada
909,ホゲータ,fuecoco
910,アチゲータ,crocalor
911,ラウドボーン,skeledirge
912,クワッス,quaxly
913,ウェルカモ,quaxwell
914,ウェーニバル,quaquaval
915,グルトン,lechonk
916,パフュートン,oinkologne
917,タマンチュラ,tarountula
918,ワナイダー,spidops
919,マメバッタ,nymble
920,エクスレッグ,lokix
921,パモ,pawmi
922,パモット,pawmo
923,パーモット,pawmot
924,ワッカネズミ,tandemaus
925,イッカネズミ,maushold
926,パピモッチ,fidough
927,バウッツェル,dachsbun
928,ミニーブ,smoliv
929,オリーニョ,dolliv
930,オリーヴァ,arboliva
931,イキリンコ,squawkabilly
932,コジオ,nacli
933,ジオヅム,naclstack
934,キョジオーン,garganacl
935,カルボウ,charcadet
936,グレンアルマ,armarouge
937,ソウブレイズ,ceruledge
938,ズピカ,tadbulb
939,ハラバリー,bellibolt
940,カイデン,wattrel
941,タイカイデン,kilowattrel
942,オラチフ,maschiff
943,マフィティフ,mabosstiff
944,シルシュルー,shroodle
945,タギングル,grafaiai
946,アノクサ,bramblin
947,アノホラグサ,brambleghast
948,ノノクラゲ,toedscool
949,リククラゲ,toedscruel
950,ガケガニ,klawf
951,カプサイジ,capsakid
952,スコヴィラン,scovillain
953,シガロコ,rellor
954,ベラカス,rabsca
955,ヒラヒナ,flittle
956,クエスパトラ,espathra
957,カヌチャン,tinkatink
958,ナカヌチャン,tinkatuff
959,デカヌチャン,tinkaton
960,ウミディグダ,wiglett
961,ウミトリオ,wugtrio
962,オトシドリ,bombirdier
963,ナミイルカ,finizen
964,イルカマン,palafin
965,ブロロン,varoom
966,ブロロローム,revavroom
967,モトトカゲ,cyclizar
968,ミミズズ,orthworm
969,キラーメ,glimmet
970,キラフロル,glimmora
971,ボチ,greavard
972,ハカドッグ,houndstone
973,カラミンゴ,flamigo
974,アルクジラ,cetoddle
975,ハルクジラ,cetitan
976,ミガルーサ,veluza
977,ヘイラッシャ,dondozo
978,シャリタツ,tatsugiri
979,コノヨザル,annihilape
980,ドオー,clodsire
981,リキキリン,farigiraf
982,ノココッチ,dudunsparce
983,ドドゲザン,kingambit
984,イダイナキバ,greattusk
985,サケブシッポ,screamtail
986,アラブルタケ,brutebonnet
987,ハバタクカミ,fluttermane
988,チヲハウハネ,slitherwing
989,スナノケガワ,sandyshocks
990,テツノワダチ,irontreads
991,テツノツツミ,ironbundle
992,テツノカイナ,ironhands
993,テツノコウベ,ironjugulis
994,テツノドクガ,ironmoth
995,テツノイバラ,ironthorns
996,セビエ,frigibax
997,セゴール,arctibax
998,セグレイブ,baxcalibur
999,コレクレー,gimmighoul
1000,サーフゴー,gholdengo
1001,チオンジェン,wochien
1002,パオジアン,chienpao
1003,ディンルー,tinglu
1004,イーユイ,chiyu
1005,トドロクツキ,roaringmoon
1006,テツノブジン,ironvaliant
1007,コライドン,koraidon
1008,ミライドン,miraidon
1009,ウネルミナモ,walkingwake
1010,テツノイサハ,ironleaves
1011,カミッチュ,dipplin
1012,チャデス,poltchageist
1013,ヤバソチャ,sinistcha
1014,イイネイヌ,okidogi
1015,マシマシラ,munkidori
1016,キチキギス,fezandipiti
1017,オーガポン,ogerpon
1018,ブリジュラス,archaludon
1019,カミツオロチ,hydrapple
1020,ウガツホムラ,gougingfire
1021,タケルライコ,ragingbolt
1022,テツノイワオ,ironboulder
1023,テツノカシラ,ironcrown
1024,テラパゴス,terapagos
1025,モモワロウ,pecharunt
1017,水オーガポン,ogerponwellspring
1017,火オーガポン,ogerponhearthflame
1017,岩オーガポン,ogerponcornerstone
479,火ロトム,rotomheat
479,水ロトム,rotomwash
479,飛行ロトム,rotomfan
479,氷ロトム,rotomfrost
479,草ロトム,rotommow
876,イエッサン♀,indeedeef
876,イエッサン♂,indeedeem
645,霊獣ランドロス,landorustherian
641,霊獣トルネロス,tornadustherian
642,霊獣ボルトロス,thundurustherian
59,ヒスイウインディ,arcaninehisui
